Deal ID,Stage,Lead Source,Created Time
zcrm_5071505000011023191,Process Lost,Linkedin Dasha,2022-08-23 09:06:50
zcrm_5071505000011199019,Process Lost,,2022-08-24 12:09:55
zcrm_5071505000011267004,Process Lost,landing,2022-08-25 11:20:13
zcrm_5071505000011267047,Process Lost,Linkedin Nastya,2022-08-25 11:23:06
zcrm_5071505000011267091,Process Lost,Linkedin Kristina,2022-08-25 11:29:54
zcrm_5071505000011267310,Process Lost,Linkedin Nastya,2022-08-25 15:10:41
zcrm_5071505000011396147,Follow-up Job,Linkedin Aitosha,2022-08-26 12:32:56
zcrm_5071505000011450017,Process Lost,Linkedin Nastya,2022-08-26 17:52:36
zcrm_5071505000011657025,Process Lost,Linkedin Nastya,2022-08-31 11:12:11
zcrm_5071505000011657054,Closure Process,Linkedin Aitosha,2022-08-31 11:12:49
zcrm_5071505000011888001,Process Lost,deal from an existing client,2022-09-05 11:22:37
zcrm_5071505000011888045,Process Lost,deal from an existing client,2022-09-05 11:27:11
zcrm_5071505000011888142,Process Lost,landing,2022-09-05 11:49:39
zcrm_5071505000011939030,Process Lost,Linkedin Dasha,2022-09-05 22:35:25
zcrm_5071505000012144053,Process Lost,Linkedin Nastya,2022-09-09 12:28:09
zcrm_5071505000012183001,Process Lost,referral from Nastya Sartan,2022-09-09 14:29:51
zcrm_5071505000012351007,Follow-up Job,Linkedin Kristina Drozd,2022-09-13 10:45:20
zcrm_5071505000012365356,Closure Process,deal from an existing client,2022-09-13 14:36:32
zcrm_5071505000012365569,Closure Process,deal from an existing client,2022-09-13 15:01:24
zcrm_5071505000012444025,Follow-up Job,,2022-09-14 10:33:42
zcrm_5071505000012482023,Proposal Made,Linkedin Dasha,2022-09-14 16:37:57
zcrm_5071505000012482140,Proposal Made,Linkedin Kristina Drozd,2022-09-15 13:26:54
zcrm_5071505000012545309,Closure Process,old client’s comeback,2022-09-15 16:42:30
zcrm_5071505000012618019,Process Lost,deal from an existing client,2022-09-16 13:38:53
zcrm_5071505000012718023,Closure Process,deal from an existing client,2022-09-19 16:02:28
zcrm_5071505000012718049,Process Lost,referral from our client,2022-09-19 16:03:58
zcrm_5071505000012718075,Process Lost,deal from an existing client,2022-09-19 16:06:16
zcrm_5071505000013004027,Process Lost,Linkedin Nastya,2022-09-23 13:22:04
zcrm_5071505000013004074,Process Lost,Linkedin Dasha,2022-09-23 13:23:26
zcrm_5071505000013127018,Process Lost,Linkedin Dasha,2022-09-26 10:34:58
zcrm_5071505000013127068,Proposal Made,Linkedin Nastya,2022-09-26 10:37:48
zcrm_5071505000013340154,Process Lost,Linkedin Dasha,2022-09-29 08:40:54
zcrm_5071505000013340181,Process Lost,landing,2022-09-29 08:41:27
